file,brand,model,watch_name,dial_color,case_color,case_material,bezel,bracelet_strap,strap_material,gender,est_size_mm,shot_type,confidence
Update/Rolex_Batch03/IMG_7208.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Black Dial Everose Gold Ceramic Bezel Oysterflex,black,rose gold,rose gold,black ceramic,oysterflex,rubber,Men,40,full,high
Update/Rolex_Batch03/IMG_7209.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Chocolate Dial Everose Gold Ceramic Bezel Oysterflex,chocolate,rose gold,rose gold,black ceramic,oysterflex,rubber,Men,40,full,high
Update/Rolex_Batch03/IMG_7210.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Black Dial Yellow Gold Ceramic Bezel Oysterflex,black,yellow gold,yellow gold,black ceramic,oysterflex,rubber,Men,40,full,high
Update/Rolex_Batch03/IMG_7229.JPG,Rolex,Datejust,Datejust Pink Diamond Dial Steel Fluted Bezel Jubilee,pink,silver,steel,fluted white gold,jubilee,steel,Women,31,dial,high
Update/Rolex_Batch03/IMG_7230.JPG,Rolex,Datejust,Datejust Pink Diamond Dial Steel Fluted Bezel Jubilee,pink,silver,steel,fluted white gold,jubilee,steel,Women,31,dial,high
Update/Rolex_Batch03/IMG_7231.JPG,Rolex,Datejust,Datejust Pink Diamond Dial Steel Fluted Bezel Jubilee,pink,silver,steel,fluted white gold,jubilee,steel,Women,31,dial,high
Update/Rolex_Batch03/IMG_7232.JPG,Rolex,Datejust,Datejust Pink Diamond Dial Steel Fluted Bezel Jubilee,pink,silver,steel,fluted white gold,jubilee,steel,Women,31,dial,high
Update/Rolex_Batch02/IMG_9250.JPG,Rolex,Yacht-Master,Yacht-Master Black Dial White Gold Black Ceramic Bezel Rubber Strap,black,silver,white gold,black ceramic,strap,rubber,Men,40,dial,high
Update/Rolex_Batch02/IMG_9251.JPG,Rolex,Datejust,Datejust Chocolate Computer Diamond Dial Two-Tone Rose Gold Fluted Bezel Jubilee,chocolate,two-tone,steel and rose gold,fluted rose gold,bracelet,steel and rose gold,Men,36,dial,high
Update/Rolex_Batch02/IMG_9252.JPG,Rolex,Datejust,Datejust Black Diamond Dial Two-Tone Yellow Gold Fluted Bezel Jubilee,black,two-tone,steel and yellow gold,fluted yellow gold,bracelet,steel and yellow gold,Men,36,dial,high
Update/Rolex_Batch02/IMG_9302.JPG,Rolex,Cellini,Cellini Black Dial Rose Gold Black Leather Strap,black,rose gold,rose gold,fluted rose gold,strap,leather,Men,39,full,high
Update/Rolex_Batch02/IMG_9303.JPG,Rolex,Cellini,Cellini White Dial Rose Gold Brown Leather Strap,white,rose gold,rose gold,fluted rose gold,strap,leather,Men,39,full,high
Update/Rolex_Batch02/IMG_9325.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Blue Koi Dial Carbon Fabric Strap,blue,black,carbon,carbon tachymeter,strap,fabric,Men,40,full,medium
Update/Rolex_Batch02/IMG_9326.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Blue Koi Dial Carbon Fabric Strap,blue,black,carbon,carbon tachymeter,strap,fabric,Men,40,dial,medium
Update/Rolex_Batch02/IMG_9327.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Blue Koi Dial Carbon Fabric Strap,blue,black,carbon,carbon tachymeter,strap,fabric,Men,40,side,medium
Update/Rolex_Batch02/IMG_9328.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Blue Koi Dial Carbon Fabric Strap,blue,black,carbon,carbon tachymeter,strap,fabric,Men,40,dial,medium
Update/Rolex_Batch02/IMG_9329.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Blue Koi Dial Carbon Fabric Strap,blue,black,carbon,carbon tachymeter,strap,fabric,Men,40,side,medium
Update/Rolex_Batch02/IMG_9330.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Blue Koi Dial Carbon Fabric Strap,blue,black,carbon,carbon tachymeter,strap,fabric,Men,40,side,medium
Update/Rolex_Batch02/IMG_9331.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Blue Koi Dial Carbon Fabric Strap,blue,black,carbon,carbon tachymeter,strap,fabric,Men,40,caseback,medium
Update/Rolex_Batch02/IMG_9406.JPG,Rolex,Datejust,Datejust Rhodium Dial Steel White Gold Fluted Bezel Jubilee,rhodium,silver,stainless steel,fluted white gold,bracelet,stainless steel,Men,41,full,high
Update/Rolex_Batch02/IMG_9407.JPG,Rolex,Datejust,Datejust Rhodium Dial Steel White Gold Fluted Bezel Jubilee,rhodium,silver,stainless steel,fluted white gold,bracelet,stainless steel,Men,41,full,high
Update/Rolex_Batch02/IMG_9408.JPG,Rolex,Datejust,Datejust Rhodium Dial Steel White Gold Fluted Bezel Jubilee,rhodium,silver,stainless steel,fluted white gold,bracelet,stainless steel,Men,41,full,high
Update/Rolex_Batch02/IMG_9409.JPG,Rolex,Datejust,Datejust Rhodium Dial Steel White Gold Fluted Bezel Jubilee,rhodium,silver,stainless steel,fluted white gold,bracelet,stainless steel,Men,41,side,high
Update/Rolex_Batch02/IMG_1139.JPG,Richard Mille,RM 027,RM 027 Tourbillon Skeleton Black Case Rubber Strap,Skeleton,Black,Ceramic/TPT,Black,Strap,Rubber,Men,48,full,high
Update/Rolex_Batch02/IMG_1140.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Champagne Yellow Gold Black Ceramic Bezel Rubber Strap,Champagne,Yellow Gold,Yellow Gold,Black Ceramic,Strap,Rubber,Men,40,dial,high
Update/Rolex_Batch02/IMG_1141.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona White Yellow Gold Black Ceramic Bezel Rubber Strap,White,Yellow Gold,Yellow Gold,Black Ceramic,Strap,Rubber,Men,40,dial,high
Update/Rolex_Batch02/IMG_1142.JPG,Rolex,Datejust,Datejust Grey Steel Fluted Bezel Jubilee,Grey,Steel,Stainless Steel,Fluted White Gold,Bracelet,Stainless Steel,Men,41,dial,high
Update/Rolex_Batch02/IMG_1143.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Green Yellow Gold Black Ceramic Bezel Rubber Strap,Green,Yellow Gold,Yellow Gold,Black Ceramic,Strap,Rubber,Men,40,dial,high
Update/Rolex_Batch02/IMG_1144.JPG,Rolex,Datejust,Datejust Chocolate Diamond Two Tone Everose Fluted Bezel Jubilee,Chocolate,Two Tone Steel Rose Gold,Stainless Steel and Everose Gold,Fluted Everose Gold,Bracelet,Stainless Steel and Everose Gold,Men,41,dial,high
Update/Rolex_Batch02/IMG_1145.JPG,Rolex,Datejust,Datejust Blue Steel Fluted Bezel Jubilee,Blue,Steel,Stainless Steel,Fluted White Gold,Bracelet,Stainless Steel,Men,41,dial,high
Update/Rolex_Batch02/IMG_1146.JPG,Rolex,Submariner,Submariner Date Black Steel Black Ceramic Bezel Jubilee,Black,Steel,Stainless Steel,Black Ceramic,Bracelet,Stainless Steel,Men,41,dial,high
Update/Rolex_Batch02/IMG_1147.JPG,Rolex,GMT-Master II,GMT-Master II Black Steel Blue Black Ceramic Bezel Jubilee,Black,Steel,Stainless Steel,Blue Black Ceramic,Bracelet,Stainless Steel,Men,40,dial,high
Update/Rolex_Batch02/IMG_1148.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Grey Yellow Gold Black Ceramic Bezel Rubber Strap,Grey,Yellow Gold,Yellow Gold,Black Ceramic,Strap,Rubber,Men,40,dial,high
Update/Rolex_Batch02/IMG_1216.JPG,Rolex,Sky-Dweller,Sky-Dweller Chocolate Everose Gold Fluted Bezel Rubber Strap,Chocolate,Rose Gold,Everose Gold,Fluted Everose Gold,Strap,Rubber,Men,42,side,high
Update/Rolex_Batch02/IMG_1217.JPG,Rolex,Sky-Dweller,Sky-Dweller Chocolate Everose Gold Fluted Bezel Rubber Strap,Chocolate,Rose Gold,Everose Gold,Fluted Everose Gold,Strap,Rubber,Men,42,dial,high
Update/Rolex_Batch02/IMG_1218.JPG,Rolex,Sky-Dweller,Sky-Dweller Everose Gold Fluted Bezel Rubber Strap,?,Rose Gold,Everose Gold,Fluted Everose Gold,Strap,Rubber,Men,42,caseback,medium
Update/Rolex_Batch02/IMG_1244.JPG,Rolex,Datejust,Datejust Slate Wimbledon Steel Fluted Bezel Jubilee,Slate Grey,Steel,Stainless Steel,Fluted White Gold,Bracelet,Stainless Steel,Men,41,dial,high
Update/Rolex_Batch02/IMG_1245.JPG,Rolex,Datejust,Datejust Slate Wimbledon Steel Fluted Bezel Jubilee,Slate Grey,Steel,Stainless Steel,Fluted White Gold,Bracelet,Stainless Steel,Men,41,side,high
Update/Rolex_Batch02/IMG_1246.JPG,Rolex,Datejust,Datejust Slate Wimbledon Steel Fluted Bezel Jubilee,Slate Grey,Steel,Stainless Steel,Fluted White Gold,Bracelet,Stainless Steel,Men,41,caseback,high
Update/Rolex_Batch02/IMG_1247.JPG,Rolex,Datejust,Datejust Slate Wimbledon Steel Fluted Bezel Jubilee,Slate Grey,Steel,Stainless Steel,Fluted White Gold,Bracelet,Stainless Steel,Men,41,side,high
Update/Rolex_Batch02/IMG_1248.JPG,Rolex,Datejust,Datejust Slate Wimbledon Steel Fluted Bezel Jubilee,Slate Grey,Steel,Stainless Steel,Fluted White Gold,Bracelet,Stainless Steel,Men,41,bracelet,high
Update/Rolex_Batch03/IMG_2562.JPG,Rolex,Datejust,Datejust Golden Palm Motif Dial Steel And Yellow Gold Fluted Bezel Jubilee,Golden,Two-Tone,Steel And Yellow Gold,Fluted,Jubilee,Steel And Yellow Gold,Unisex,36,dial,high
Update/Rolex_Batch03/IMG_2563.JPG,Rolex,Datejust,Datejust Golden Palm Motif Dial Steel And Yellow Gold Fluted Bezel Jubilee,Golden,Two-Tone,Steel And Yellow Gold,Fluted,Jubilee,Steel And Yellow Gold,Unisex,36,dial,high
Update/Rolex_Batch03/IMG_2564.JPG,Rolex,Datejust,Datejust Golden Palm Motif Dial Steel And Yellow Gold Fluted Bezel Jubilee,Golden,Two-Tone,Steel And Yellow Gold,Fluted,Jubilee,Steel And Yellow Gold,Unisex,36,dial,high
Update/Rolex_Batch03/IMG_2565.JPG,Rolex,Datejust,Datejust Golden Palm Motif Dial Steel And Yellow Gold Fluted Bezel Jubilee,Golden,Two-Tone,Steel And Yellow Gold,Fluted,Jubilee,Steel And Yellow Gold,Unisex,36,dial,high
Update/Rolex_Batch03/IMG_2566.JPG,Rolex,Datejust,Datejust Golden Palm Motif Dial Steel And Yellow Gold Fluted Bezel Jubilee,Golden,Two-Tone,Steel And Yellow Gold,Fluted,Jubilee,Steel And Yellow Gold,Unisex,36,side,high
