file,brand,model,watch_name,dial_color,case_color,case_material,bezel,bracelet_strap,strap_material,gender,est_size_mm,shot_type,confidence
Update/Rolex_Batch03/IMG_3215.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Diamond Pave Dial White Gold Gem Set Bezel Rubber Strap,Diamond Pave,Silver,White Gold,Gem Set,Strap,Rubber,Men,40,dial,high
Update/Rolex_Batch03/IMG_3216.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Diamond Pave Dial White Gold Gem Set Bezel Rubber Strap,Diamond Pave,Silver,White Gold,Gem Set,Strap,Rubber,Men,40,side,high
Update/Rolex_Batch03/IMG_3217.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Diamond Pave Dial White Gold Gem Set Bezel Rubber Strap,Diamond Pave,Silver,White Gold,Gem Set,Strap,Rubber,Men,40,bracelet,high
Update/Rolex_Batch03/IMG_3218.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Diamond Pave Dial White Gold Gem Set Bezel Rubber Strap,Diamond Pave,Silver,White Gold,Gem Set,Strap,Rubber,Men,40,dial,high
Update/Rolex_Batch03/IMG_3219.JPG,Rolex,Cosmograph Daytona,Cosmograph Daytona Diamond Pave Dial White Gold Gem Set Bezel Rubber Strap,Diamond Pave,Silver,White Gold,Gem Set,Strap,Rubber,Men,40,caseback,high
Update/Rolex_Batch03/IMG_1768 2.JPG,Rolex,Datejust,Datejust Steel Oyster Bracelet,?,steel,steel,?,oyster,steel,Men,,bracelet,low
Update/Rolex_Batch03/IMG_1956 2.JPG,Rolex,Datejust,Datejust Green Palm Dial Steel Fluted Bezel Jubilee,green,steel,steel,fluted white gold,jubilee,steel,Men,36,wrist,high
Update/Rolex_Batch03/IMG_1957 2.JPG,Rolex,Datejust,Datejust Green Palm Dial Steel Fluted Bezel Jubilee,green,steel,steel,fluted white gold,jubilee,steel,Men,36,dial,high
Update/Rolex_Batch03/IMG_1958 2.JPG,Rolex,Datejust,Datejust Green Palm Dial Steel Fluted Bezel Jubilee,green,steel,steel,fluted white gold,jubilee,steel,Men,36,side,high
Update/Rolex_Batch03/IMG_1959 2.JPG,Rolex,Datejust,Datejust Steel Jubilee Bracelet Clasp,?,steel,steel,?,jubilee,steel,Men,36,bracelet,medium
Update/Rolex_Batch03/IMG_2061 2.PNG,Rolex,Yacht-Master,Yacht-Master Black Dial Steel Black Bezel Oysterflex,black,steel,steel,black ceramic,oysterflex,rubber,Men,40,dial,high
Update/Rolex_Batch03/IMG_2084 2.JPG,Rolex,Yacht-Master,Yacht-Master Black Dial Black Bezel Oysterflex Pair,black,two-tone,steel and rose gold,black ceramic,oysterflex,rubber,Men,40,full,medium
Update/Rolex_Batch03/IMG_2085 2.JPG,Rolex,Yacht-Master,Yacht-Master Black Dial Steel Black Bezel Oysterflex,black,steel,steel,black ceramic,oysterflex,rubber,Men,40,full,high
Update/Rolex_Batch03/IMG_2086 2.JPG,Rolex,Yacht-Master,Yacht-Master Black Dial Steel Black Bezel Oysterflex,black,steel,steel,black ceramic,oysterflex,rubber,Men,40,full,high
Update/Rolex_Batch03/IMG_2087 2.JPG,Rolex,Yacht-Master,Yacht-Master Black Dial Steel Black Bezel Oysterflex,black,steel,steel,black ceramic,oysterflex,rubber,Men,40,full,high
Update/Rolex_Batch03/IMG_2088 2.JPG,Rolex,Yacht-Master,Yacht-Master Black Dial Steel Black Bezel Oysterflex,black,steel,steel,black ceramic,oysterflex,rubber,Men,40,full,high
Update/Rolex_Batch03/IMG_2089 2.JPG,Rolex,Yacht-Master,Yacht-Master Everose Gold Black Bezel Oysterflex,?,rose gold,everose gold,black ceramic,oysterflex,rubber,Men,40,side,medium
Update/Rolex_Batch03/IMG_2090 2.JPG,Rolex,Yacht-Master,Yacht-Master Everose Gold Oysterflex Caseback,?,rose gold,everose gold,black ceramic,oysterflex,rubber,Men,40,caseback,medium
Update/Rolex_Batch03/IMG_2091 2.JPG,Rolex,Yacht-Master,Yacht-Master Oysterflex Crystal Protector,?,?,?,?,oysterflex,rubber,Men,40,other,low
Update/Rolex_Batch03/IMG_2100 2.JPG,Omega,Seamaster,Omega Two-Tone Bracelet Clasp,?,two-tone,steel and gold,?,bracelet,steel and gold,Men,,bracelet,low
Update/Rolex_Batch03/IMG_2101 2.JPG,Rolex,Datejust,Datejust Silver Jubilee Diamond Dial Steel Diamond Bezel Jubilee,silver,steel,steel,diamond,jubilee,steel,Unisex,36,wrist,high
