sku,brand,model,watch_name,dial_color,case_material,bezel,bracelet_strap,strap_material,gender,est_size_mm,num_photos,status,folder
ROL-123,Rolex,Cosmograph Daytona,Cosmograph Daytona Chocolate Brown Dial Everose Gold Ceramic Bezel Rubber Strap,chocolate,everosegold,ceramic-tachymeter,strap,rubber,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Chocolate Brown Dial Everose Gold Ceramic Bezel Rubber Strap
ROL-472,Rolex,Cosmograph Daytona,Cosmograph Daytona Chocolate Dial Everose Gold Ceramic Bezel Oysterflex,chocolate,rose gold,black ceramic,oysterflex,rubber,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Chocolate Dial Everose Gold Ceramic Bezel Oysterflex
ROL-933,Rolex,Cosmograph Daytona,Cosmograph Daytona Chocolate Dial Rose Gold Ceramic Bezel Oysterflex,chocolate,everose gold,black ceramic,oysterflex strap,rubber,Men,40,2,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Chocolate Dial Rose Gold Ceramic Bezel Oysterflex
ROL-810,Rolex,Cosmograph Daytona,Cosmograph Daytona Collection Assortment,mixed,mixed,mixed,oyster,mixed,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Collection Assortment
ROL-265,Rolex,Cosmograph Daytona,Cosmograph Daytona DiW Black Textile Strap,?,?,?,strap,textile,Men,,2,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona DiW Black Textile Strap
ROL-239,Rolex,Cosmograph Daytona,Cosmograph Daytona DiW Carbon Custom Caseback,?,composite-carbon,carbon,strap,leather,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona DiW Carbon Custom Caseback
ROL-339,Rolex,Cosmograph Daytona,Cosmograph Daytona DiW Grey Dial Forged Carbon Gold Accents,grey,forged-carbon,carbon-gold-tachymeter,fabric,fabric,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona DiW Grey Dial Forged Carbon Gold Accents
ROL-665,Rolex,Cosmograph Daytona,Cosmograph Daytona Diamond Pave Dial Gold Baguette Bezel Rubber Strap,diamond pave,gold,baguette diamond,strap,rubber,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Diamond Pave Dial Gold Baguette Bezel Rubber Strap
ROL-903,Rolex,Cosmograph Daytona,Cosmograph Daytona Diamond Pave Dial Gold Baguette Bezel Rubber Strap,diamond pave,gold,baguette diamond,rubber strap,rubber,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Diamond Pave Dial Gold Baguette Bezel Rubber Strap 2
ROL-621,Rolex,Cosmograph Daytona,Cosmograph Daytona Everose Gold Ceramic Bezel Oysterflex,various,everose gold,ceramic,oysterflex,rubber,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Everose Gold Ceramic Bezel Oysterflex
ROL-373,Rolex,Cosmograph Daytona,Cosmograph Daytona Everose Gold Ceramic Bezel Rubber Strap,multi,everose gold,ceramic tachymeter,rubber strap,rubber,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Everose Gold Ceramic Bezel Rubber Strap
ROL-724,Rolex,Cosmograph Daytona,Cosmograph Daytona Everose Gold Collection,assorted,everose gold,gold tachymeter,bracelet,everose gold,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Everose Gold Collection
ROL-221,Rolex,Cosmograph Daytona,Cosmograph Daytona Everose Gold Oyster,?,everose-gold,?,oyster,everose-gold,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Everose Gold Oyster
ROL-726,Rolex,Cosmograph Daytona,Cosmograph Daytona Gold Ceramic Bezel Rubber Collection,assorted,gold,black ceramic tachymeter,strap,rubber,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Gold Ceramic Bezel Rubber Collection
ROL-338,Rolex,Cosmograph Daytona,Cosmograph Daytona Green Dial Yellow Gold,green,yellowgold,yellowgold-tachymeter,oyster,yellowgold,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Green Dial Yellow Gold
ROL-126,Rolex,Cosmograph Daytona,Cosmograph Daytona Green Dial Yellow Gold Bracelet,green,yellowgold,metal-tachymeter,bracelet,yellowgold,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Green Dial Yellow Gold Bracelet
ROL-428,Rolex,Cosmograph Daytona,Cosmograph Daytona Green Dial Yellow Gold Tachymeter Bezel,green,yellow gold,gold tachymeter,oysterflex,rubber,Men,40,2,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Green Dial Yellow Gold Tachymeter Bezel
ROL-005,Rolex,Cosmograph Daytona,Cosmograph Daytona Green Dial Yellow Gold Tachymeter Bezel Oyster Bracelet,Green,Yellow Gold,Yellow Gold Tachymeter,Bracelet,Yellow Gold,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Green Dial Yellow Gold Tachymeter Bezel Oyster Bracelet
ROL-482,Rolex,Cosmograph Daytona,Cosmograph Daytona Green Yellow Gold Black Ceramic Bezel Rubber Strap,Green,Yellow Gold,Black Ceramic,Strap,Rubber,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Green Yellow Gold Black Ceramic Bezel Rubber Strap
ROL-242,Rolex,Cosmograph Daytona,Cosmograph Daytona Grey Dial Rose Gold Oysterflex,grey,rosegold,tachymeter-black,strap,rubber,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Grey Dial Rose Gold Oysterflex
ROL-485,Rolex,Cosmograph Daytona,Cosmograph Daytona Grey Yellow Gold Black Ceramic Bezel Rubber Strap,Grey,Yellow Gold,Black Ceramic,Strap,Rubber,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Grey Yellow Gold Black Ceramic Bezel Rubber Strap
ROL-845,Rolex,Cosmograph Daytona,Cosmograph Daytona Group Tray,mixed,mixed,mixed,mixed,mixed,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Group Tray
ROL-469,Rolex,Cosmograph Daytona,Cosmograph Daytona Ice Blue Dial Steel Brown Ceramic Bezel Oyster,ice blue,steel,brown ceramic,oyster,steel,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Ice Blue Dial Steel Brown Ceramic Bezel Oyster
ROL-714,Rolex,Cosmograph Daytona,Cosmograph Daytona Meteorite Dial Ceramic Bezel Collection,meteorite,mixed,ceramic,mixed,mixed,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Meteorite Dial Ceramic Bezel Collection
ROL-299,Rolex,Cosmograph Daytona,Cosmograph Daytona Meteorite Dial Everose Gold,meteorite,everosegold,gold-tachymeter,oyster,everosegold,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Meteorite Dial Everose Gold
ROL-701,Rolex,Cosmograph Daytona,Cosmograph Daytona Meteorite Dial Gold Oysterflex,meteorite,gold,tachymeter,Oysterflex,rubber,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Meteorite Dial Gold Oysterflex
ROL-133,Rolex,Cosmograph Daytona,Cosmograph Daytona Meteorite Dial White Gold Bracelet,meteorite,whitegold,metal-tachymeter,bracelet,whitegold,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Meteorite Dial White Gold Bracelet
ROL-336,Rolex,Cosmograph Daytona,Cosmograph Daytona Meteorite Dial White Gold Ceramic Bezel,meteorite,whitegold,black-ceramic-tachymeter,rubber,rubber,Men,40,1,need_photos,NeedMorePhotos/Rolex/Cosmograph Daytona/Cosmograph Daytona Meteorite Dial White Gold Ceramic Bezel
