sku,brand,model,watch_name,dial_color,case_material,bezel,bracelet_strap,strap_material,gender,est_size_mm,num_photos,status,folder
ROL-525,Rolex,Day-Date,Day-Date Green Ombre Diamond Dial Yellow Gold Fluted Bezel President,green ombre,yellow gold,fluted,president,yellow gold,Unisex,36,1,need_photos,NeedMorePhotos/Rolex/Day-Date/Day-Date Green Ombre Diamond Dial Yellow Gold Fluted Bezel President
ROL-858,Rolex,Day-Date,Day-Date Green Roman Dial Yellow Gold Fluted Bezel President Bracelet,green,yellow gold,fluted,bracelet,yellow gold,Men,36,2,need_photos,NeedMorePhotos/Rolex/Day-Date/Day-Date Green Roman Dial Yellow Gold Fluted Bezel President Bracelet
ROL-229,Rolex,Day-Date,Day-Date Green Yellow Gold Fluted Bezel,green,yellowgold,fluted,?,?,Men,40,2,need_photos,NeedMorePhotos/Rolex/Day-Date/Day-Date Green Yellow Gold Fluted Bezel
ROL-232,Rolex,Day-Date,Day-Date Green Yellow Gold Fluted Bezel President,green,yellowgold,fluted,bracelet,yellowgold,Men,40,1,need_photos,NeedMorePhotos/Rolex/Day-Date/Day-Date Green Yellow Gold Fluted Bezel President
ROL-909,Rolex,Day-Date,Day-Date Group Gold Fluted Bezel President Bracelet,multi,gold,fluted,bracelet,gold,Unisex,36,1,need_photos,NeedMorePhotos/Rolex/Day-Date/Day-Date Group Gold Fluted Bezel President Bracelet
ROL-041,Rolex,Day-Date,Day-Date Ice Blue Diamond Dial Platinum Fluted Bezel President Bracelet,Ice Blue,Platinum,Fluted Platinum,Bracelet,Platinum,Men,40,1,need_photos,NeedMorePhotos/Rolex/Day-Date/Day-Date Ice Blue Diamond Dial Platinum Fluted Bezel President Bracelet
ROL-855,Rolex,Day-Date,Day-Date Meteorite Dial White Gold Diamond Bezel Diamond Markers,silver,white gold,diamond,bracelet,white gold,Men,36,1,need_photos,NeedMorePhotos/Rolex/Day-Date/Day-Date Meteorite Dial White Gold Diamond Bezel Diamond Markers
ROL-711,Rolex,Day-Date,Day-Date Meteorite Dial Yellow Gold Diamond Bezel President,meteorite,yellow gold,diamond,President,yellow gold,Men,36,1,need_photos,NeedMorePhotos/Rolex/Day-Date/Day-Date Meteorite Dial Yellow Gold Diamond Bezel President
ROL-823,Rolex,Day-Date,Day-Date Mixed Lot Steel And Two-Tone Jubilee,mixed,mixed,mixed,jubilee,steel,Men,36,1,need_photos,NeedMorePhotos/Rolex/Day-Date/Day-Date Mixed Lot Steel And Two-Tone Jubilee
ROL-043,Rolex,Day-Date,Day-Date Mother Of Pearl Diamond Dial Yellow Gold Fluted Bezel President Bracelet,Mother Of Pearl,Yellow Gold,Fluted Yellow Gold,Bracelet,Yellow Gold,Men,40,1,need_photos,NeedMorePhotos/Rolex/Day-Date/Day-Date Mother Of Pearl Diamond Dial Yellow Gold Fluted Bezel President Bracelet
